PARTITION|PAYROLL FACILITY CODE|ACCOUNTING DEPARTMENT|DIVISION|PAYROLL FACILITY CODE|ACCOUNTING DEPARTMENT|DIVISION
pcsv1|DI|ALL|ALL|NONE|NONE|NONE
pcsv1|ED|ALL|ALL|NONE|NONE|NONE
pcsv1|KF|ALL|ALL|NONE|NONE|NONE
pcsv1|MQ|ALL|ALL|NONE|NONE|NONE
pcsv1|NY|ALL|ALL|NONE|NONE|NONE
pcsv1|UZ|ALL|ALL|NONE|NONE|NONE
pcsv1|ZJ|ALL|ALL|NONE|NONE|NONE
pcsv1|ZT|ALL|ALL|NONE|NONE|NONE
pcsv1|ZZ|J0905|ALL|NONE|NONE|NONE
pcsv1|EZ|ALL|ALL|NONE|NONE|NONE
pcsv1|K8|ALL|ALL|NONE|NONE|NONE
pcsv1|HD|ALL|ALL|NONE|NONE|NONE
pcsv1|FS|ALL|ALL|NONE|NONE|NONE
pcsv1|LD|ALL|ALL|NONE|NONE|NONE
pcsv1|XN|ALL|ALL|NONE|NONE|NONE
pcsv1|DL|ALL|ALL|NONE|NONE|NONE
pcsv1|FQ|ALL|ALL|NONE|NONE|NONE
pcsv1|EQ|ALL|ALL|NONE|NONE|NONE
pcsv1|XH|ALL|ALL|NONE|NONE|NONE
pcsv1|W7|ALL|ALL|NONE|NONE|NONE
pcsv1|YU|ALL|ALL|NONE|NONE|NONE
pcsv1|ZS|ALL|ALL|NONE|NONE|NONE
pcsv1|K1|ALL|ALL|NONE|NONE|NONE
pcsv1|ND|ALL|ALL|NONE|NONE|NONE
pcsv1|FH|ALL|ALL|NONE|NONE|NONE
pcsv1|K9|ALL|ALL|NONE|NONE|NONE
pcsv1|X0|ALL|ALL|NONE|NONE|NONE
pcsv1|YG|ALL|ALL|NONE|NONE|NONE
pcsv1|1E|ALL|ALL|NONE|NONE|NONE
pcsv1|ZK|ALL|ALL|NONE|NONE|NONE
pcsv1|VF|ALL|ALL|NONE|NONE|NONE
pcsv1|12|J0520|ALL|NONE|NONE|NONE
pcsv1|12|J0640|ALL|NONE|NONE|NONE
pcsv1|12|J0670|ALL|NONE|NONE|NONE
pcsv1|12|J0830|ALL|NONE|NONE|NONE
pcsv1|12|J0897|ALL|NONE|NONE|NONE
pcsv1|12|J0971|ALL|NONE|NONE|NONE
pcsv1|12|J0972|ALL|NONE|NONE|NONE
pcsv1|12|J0985|ALL|NONE|NONE|NONE
pcsv1|12|J0989|ALL|NONE|NONE|NONE
pcsv1|12|J0992|ALL|NONE|NONE|NONE
pcsv1|12|J0995|ALL|NONE|NONE|NONE
pcsv1|12|J0996|ALL|NONE|NONE|NONE
pcsv1|SE|ALL|ALL|NONE|NONE|NONE
pcsv1|V1|ALL|ALL|NONE|NONE|NONE
pcsv1|V3|ALL|ALL|NONE|NONE|NONE
pcsv1|V2|ALL|ALL|NONE|NONE|NONE
pcsv1|FM|ALL|ALL|NONE|NONE|NONE
pcsv1|V6|ALL|ALL|NONE|NONE|NONE
pcsv1|OX|ALL|ALL|NONE|NONE|NONE
pcsv1|OE|ALL|ALL|NONE|NONE|NONE
pcsv1|OU|ALL|ALL|NONE|NONE|NONE
pcsv1|OZ|ALL|ALL|NONE|NONE|NONE
pcsv1|W1|ALL|ALL|NONE|NONE|NONE
pcsv1|V7|ALL|ALL|NONE|NONE|NONE
pcsv1|TT|ALL|ALL|NONE|NONE|NONE
pcsv1|HZ|ALL|ALL|NONE|NONE|NONE
pcsv1|LS|ALL|ALL|NONE|NONE|NONE
